"uniqid","demfirst","repfirst","female","gender","state","age","educ","race","hispanic","region","pid7","pid3","demrich","demrel","demrace","demsex","demage","demeduc","dememploy","demunion","reprich","reprel","reprace","repsex","repage","repeduc","repemploy","repunion","reprich1","reprel1","reprace1","repsex1","repage1","repeduc1","repemploy1","repunion1","demrich1","demrel1","demrace1","demsex1","demage1","demeduc1","dememploy1","demunion1"
"R_e5njVLET3QCNsJT",1,NA,"TRUE","Female","Oklahoma","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_1Tjil4arK3Z5tGZ",NA,1,"TRUE","Female","North Carolina","30-49","Bachelor's degree","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","Black or African-American","Woman","18-35","College educated","Employed","Union Member"
"R_9HMVUm2s8uZPePr",NA,1,"FALSE","Male","Minnesota","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","18-35","Never went to college","Employed","Union Member"
"R_24b8EDSRhYLjvBr",1,NA,"FALSE","Male","Illinois","30-49","Bachelor's degree","Asian","FALSE","midwest","4","Independent","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Unemployed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4YPbxmXcKdXEzlP",NA,NA,"TRUE","Female","New York","30-49","Some college","White/Caucasian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_bmyM2NWOwpGlKiV",1,NA,"TRUE","Female","Texas","50+","High school degree or equivalent","White/Caucasian","FALSE","south","4","Independent","Middle class","Other Protestant Christian","Black or African-American","Woman","18-35","Never went to college","Unemployed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_56Azwa42fErewYt",1,NA,"FALSE","Male","Kentucky","30-49","Some college","White/Caucasian","FALSE","south","2","Democrat","Middle class","Born-again/Evangelical Christian","Black or African-American","Man","18-35","Never went to college","Unemployed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_cLX0SvIcIDzIGax",NA,1,"TRUE","Female","Iowa","30-49","Some college","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","18-35","College educated","Employed","Union Member"
"R_cwMkBxGyTrfhJvD",NA,1,"FALSE","Male","Texas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Poor","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_cwPYFa099ba4YXb",1,NA,"TRUE","Female","Florida","50+","High school degree or equivalent","White/Caucasian","FALSE","south","5","Republican","Middle class","Something else","White","Woman","36-50","College Educated","Employed","Union Member","Middle class","Catholic","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_7V9UB4yRJRvCrMV",NA,NA,"FALSE","Male","Virginia","30-49","Bachelor's degree","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_9RoiSXt0x6ydO8R",NA,1,"TRUE","Female","Illinois","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_9YKT4DdKPw2lXJr",NA,NA,"FALSE","Male","Utah","30-49","Advanced degree","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_06qCzuWxKnvvbZr",1,NA,"FALSE","Male","California","30-49","Bachelor's degree","White/Caucasian","FALSE","west","6","Republican","Middle class","Other Protestant Christian","Black or African-American","Man","18-35","College Educated","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6R7kYtdeK2KBdkx",NA,1,"FALSE","Male","Arizona","30-49","High school degree or equivalent","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","Middle class","Catholic","Black or African-American","Woman","50+","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_eJPgQaCriIvxgz3",1,NA,"FALSE","Male","Arizona","30-49","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","Middle class","Atheist or agnostic","White","Man","36-50","College Educated","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3E0lAELXo9o4yEJ",NA,1,"TRUE","Female","Georgia","50+","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_3KMwYc3fcvDkK45",1,NA,"FALSE","Male","Michigan","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0NjKV1BuzGawY0l",1,NA,"TRUE","Female","California","30-49","Bachelor's degree","Black/African American","FALSE","west","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Union Member","Rich","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_78adwife5zxyEM5",NA,1,"FALSE","Male","Idaho","30-49","High school degree or equivalent","White/Caucasian","FALSE","west","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_06erFOOqO1BhLOB",1,NA,"TRUE","Female","Colorado","30-49","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_d6xkaZDS6GVB5ml",1,NA,"FALSE","Male","Minnesota","50+","Some college","White/Caucasian","FALSE","midwest","5","Republican","Middle class","Something else","White","Man","18-35","Never went to college","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0we2gdbfPt0eMtL",NA,NA,"FALSE","Male","California","30-49","Advanced degree","White/Caucasian","TRUE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_419mYro8rnKEbLn",1,NA,"FALSE","Male","Wyoming","30-49","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","Middle class","Something else","Black or African-American","Woman","18-35","College Educated","Unemployed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8k5kionEkAZWNk9",1,NA,"FALSE","Male","Texas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Something else","White","Woman","36-50","College Educated","Employed","Union Member","Poor","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6MxOVbs4bSAD0pf",NA,1,"FALSE","Male","Wisconsin","30-49","Some college","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union Member"
"R_5hEoxE7qBt5DULH",NA,NA,"FALSE","Male","Indiana","18-29","Less than a high school degree","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_5uKxuMYAMTtk4MB",1,NA,"FALSE","Male","Arkansas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_bBOhyqDACRlRlWZ",1,NA,"TRUE","Female","North Carolina","30-49","Advanced degree","White/Caucasian","FALSE","south","3","Democrat","Middle class","Catholic","White","Man","18-35","Never went to college","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6xHcurTwwcyE137",NA,1,"TRUE","Female","Illinois","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_cMAoVjOW4VLuPmB",1,NA,"FALSE","Male","California","30-49","Bachelor's degree","More than one race","TRUE","west","2","Democrat","Middle class","Other Protestant Christian","Black or African-American","Woman","18-35","Never went to college","Employed","Not a Union Member","Middle class","Catholic","Asian","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4MZRAavinKNE7Kl",1,NA,"TRUE","Female","California","30-49","High school degree or equivalent","White/Caucasian","FALSE","west","3","Democrat","Middle class","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6Kho8gf2TCG4E8l",NA,1,"FALSE","Male","New Jersey","30-49","High school degree or equivalent","White/Caucasian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Unemployed","Not a Union Member"
"R_eQFqft8b2qyX58p",1,NA,"FALSE","Male","Kentucky","30-49","Some college","White/Caucasian","FALSE","south","3","Democrat","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Union Member","Poor","Other Protestant Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3mbYexcpshyTlBj",1,NA,"FALSE","Male","California","30-49","Bachelor's degree","Black/African American","FALSE","west","2","Democrat","Poor","Born-again/Evangelical Christian","Black or African-American","Man","36-50","Never went to college","Unemployed","Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_77cG4bpAUjDk72t",NA,1,"FALSE","Male","Oregon","30-49","Bachelor's degree","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","18-35","College educated","Employed","Union Member"
"R_ehzYPvFB7SdztPv",1,NA,"TRUE","Female","Pennsylvania","30-49","Some college","White/Caucasian","FALSE","northeast","6","Republican","Middle class","Catholic","White","Woman","50+","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_265XNU5cOYiMjKl",NA,1,"FALSE","Male","Florida","30-49","Advanced degree","White/Caucasian","FALSE","south","7","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Jewish","White","Woman","36-50","Never went to college","Employed","Union Member"
"R_72R4UzOHbjssg0B",1,NA,"FALSE","Male","New York","30-49","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Something else","Black or African-American","Man","36-50","Never went to college","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_3yiQ6iWsNLP0xJH",NA,1,"TRUE","Female","Florida","30-49","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_6LItT2QrW9wlliZ",NA,1,"FALSE","Male","Alabama","30-49","High school degree or equivalent","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Union Member"
"R_5dMhReKc3e2Htop",NA,1,"FALSE","Male","Michigan","30-49","High school degree or equivalent","White/Caucasian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","Never went to college","Employed","Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_bkgpLn3Cflgroep",NA,1,"TRUE","Female","Indiana","50+","High school degree or equivalent","White/Caucasian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","Black or African-American","Man","36-50","Never went to college","Employed","Not a Union Member"
"R_5AqIrF7sdLmA4eh",NA,1,"FALSE","Male","California","30-49","Bachelor's degree","Asian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_6yavWIVGyJhU8V7",NA,1,"FALSE","Male","Michigan","30-49","Some college","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Poor","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Poor","Catholic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_02sP7RjZApJzS97",NA,NA,"TRUE","Female","Illinois","18-29","Some college","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_diGQTBRRtpEtWgB",NA,NA,"FALSE","Male","Arizona","50+","Some college","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_5vGTgrciqWGJ5zv",NA,1,"TRUE","Female","Florida","50+","Some college","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Man","36-50","Never went to college","Employed","Not a Union Member"
"R_9tpoUnc6fnqvM7H",NA,1,"TRUE","Female","Minnesota","50+","Bachelor's degree","White/Caucasian","FALSE","midwest","3","Democrat","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Woman","36-50","College educated","Employed","Union Member"
"R_9soKG9pAg17eqIR",1,NA,"TRUE","Female","Pennsylvania","50+","High school degree or equivalent","White/Caucasian","FALSE","northeast","2","Democrat","Middle class","Catholic","White","Woman","36-50","Never went to college","Unemployed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","Never went to college","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_2fPSjUmW7kE7XrD",NA,1,"TRUE","Female","California","50+","Bachelor's degree","White/Caucasian","FALSE","west","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","18-35","College Educated","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Woman","18-35","College educated","Unemployed","Union Member"
"R_9tuZXVlDcdWk3dj",NA,1,"TRUE","Female","Texas","50+","High school degree or equivalent","White/Caucasian","FALSE","south","7","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_8pkCEmeODxLp5lP",1,NA,"TRUE","Female","Nebraska","50+","Bachelor's degree","White/Caucasian","FALSE","midwest","4","Independent","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_509OCtfPXQCwfEp",NA,NA,"FALSE","Male","Arizona","30-49","Bachelor's degree","Black/African American","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_9RmICihDS8LCvRj",NA,1,"TRUE","Female","Wisconsin","50+","Bachelor's degree","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Union Member"
"R_7TKgzkJomRjQOVv",NA,1,"FALSE","Male","California","50+","Some college","White/Caucasian","FALSE","west","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_bkFg1xSUmnNJ0R7",NA,NA,"TRUE","Female","Michigan","18-29","Some college","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_eqyxKfR7qhoFXJX",1,NA,"TRUE","Female","Georgia","50+","Advanced degree","Black/African American","FALSE","south","1","Democrat","Middle class","Other Protestant Christian","Black or African-American","Woman","50+","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6W3khRo7qDnSCvH",1,NA,"FALSE","Male","Texas","30-49","Advanced degree","White/Caucasian","FALSE","south","4","Independent","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_ewwIXqUZ7Ympx5j",NA,1,"FALSE","Male","Florida","50+","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_ewUqxv3fmaXcfEF",NA,1,"FALSE","Male","Illinois","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Rich","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Union Member"
"R_bw7uavVqPqPJAdD",1,NA,"FALSE","Male","Tennessee","30-49","Some college","White/Caucasian","FALSE","south","1","Democrat","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8ADk0HkiRWVCp5H",NA,1,"TRUE","Female","Colorado","50+","Bachelor's degree","White/Caucasian","FALSE","west","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_e8lVLE4JiRAvkG1",1,NA,"FALSE","Male","New York","30-49","Some college","Native American or Alaska Native","FALSE","northeast","4","Independent","","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","","Something else","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8B89inWUNh6q0Pr",NA,1,"FALSE","Male","Michigan","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Union Member"
"R_bPWLVoJjnr3U1QV",1,NA,"TRUE","Female","Texas","30-49","Some college","White/Caucasian","FALSE","south","1","Democrat","Poor","Something else","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Union member","","","","","","","","","","","","","","","",""
"R_1C7XWSbHsn8okHb",NA,1,"TRUE","Female","Texas","30-49","Advanced degree","White/Caucasian","FALSE","south","7","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Man","36-50","Never went to college","Employed","Union Member"
"R_2gVshr4L0m3Qxq5",NA,1,"TRUE","Female","Georgia","50+","Some college","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","Black or African-American","Woman","36-50","College educated","Employed","Not a Union Member"
"R_6Vg6BRnRzlNE5HT",NA,1,"TRUE","Female","Tennessee","30-49","Bachelor's degree","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Union Member"
"R_e8qaw7iauiKDhoF",NA,1,"FALSE","Male","California","30-49","Bachelor's degree","Asian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_bQqiwEOsGSQFfG5",1,NA,"TRUE","Female","North Dakota","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Catholic","White","Man","18-35","College Educated","Employed","Union Member","Rich","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_5tpalJQqUXQaAsZ",1,NA,"FALSE","Male","Kentucky","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Union Member","Rich","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9MmYS1JnQ3zvOct",1,NA,"FALSE","Male","New Jersey","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","2","Democrat","Middle class","Catholic","White","Man","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0qEyfD7OKhpOJRX",NA,1,"FALSE","Male","Utah","50+","High school degree or equivalent","White/Caucasian","FALSE","west","7","Republican","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Poor","Catholic","White","Woman","36-50","Never went to college","Employed","Not a Union Member"
"R_809ESmGxfBjvwEt",1,NA,"TRUE","Female","Arkansas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","Middle class","Catholic","Asian","Man","18-35","Never went to college","Employed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_06a95UVj9LQpb6J",1,NA,"FALSE","Male","Wisconsin","50+","High school degree or equivalent","White/Caucasian","FALSE","midwest","6","Republican","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Union Member","Middle class","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6mpdJsk6jn0pWh7",1,NA,"FALSE","Male","Illinois","30-49","High school degree or equivalent","White/Caucasian","FALSE","midwest","6","Republican","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Unemployed","Not a Union Member","Poor","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_eXlNfoTCceGFU6V",1,NA,"TRUE","Female","Ohio","30-49","Some college","White/Caucasian","FALSE","midwest","2","Democrat","Middle class","Catholic","White","Woman","36-50","Never went to college","Employed","Union Member","Rich","Atheist or agnostic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_89crL1QlwkBqi5D",NA,1,"FALSE","Male","Florida","50+","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_81e9RE17zE1gEId",NA,1,"TRUE","Female","Wisconsin","30-49","Some college","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Woman","18-35","College educated","Employed","Not a Union Member"
"R_0AK1dBgw32cos4Z",NA,1,"TRUE","Female","Alabama","30-49","Bachelor's degree","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_9M46hBitRtzkNvL",1,NA,"TRUE","Female","California","30-49","Some college","White/Caucasian","FALSE","west","1","Democrat","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_00zG6uxe3vkHZid",1,NA,"FALSE","Male","Massachusetts","50+","High school degree or equivalent","White/Caucasian","FALSE","northeast","5","Republican","Middle class","Other Protestant Christian","Asian","Woman","36-50","College Educated","Unemployed","Not a Union Member","Rich","Jewish","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0erQ6vS4Kcfcd1z",1,NA,"FALSE","Male","Indiana","30-49","High school degree or equivalent","Native American or Alaska Native","FALSE","midwest","6","Republican","Middle class","Catholic","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_eX2m8XmxeU1nnqB",1,NA,"TRUE","Female","Kentucky","30-49","High school degree or equivalent","White/Caucasian","FALSE","south","7","Republican","Middle class","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_06vZgmJq8jtjZGJ",1,NA,"FALSE","Male","Minnesota","30-49","Some college","White/Caucasian","FALSE","midwest","6","Republican","Middle class","Atheist or agnostic","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
